ID; Name; Description; Whitepaper;FB ;Twitter; Github  
124;Christ Coin;Decentralized Christian Crypto, interact with the community on the Life Change Platform;http://lifechange.io/assets/pdf/life-change-white-paper.pdf;https://www.facebook.com/Lifechange.io/?ref=aymt_homepage_panel;https://twitter.com/lifechange_io;
125;1World Online;A Decentralized Ecosystem for online engagement and services;http://reports.1worldonline.com.s3.amazonaws.com/docs/1WO_white_paper.pdf;https://www.facebook.com/1WorldOnlineInc;https://twitter.com/1World_Online;
126;Puffcoin;Cryptocurrency;https://puffcoin.io/download/puffcoin_whitepaper.pdf;;;
127;Zephyr;Blockchain Solution for Remittance Industry Stakeholders;https://zephyr.bitspark.io/materials/Project_Zephyr_Whitepaper.pdf;;https://twitter.com/bitsparkbtc;
128;CoinDrive (PRE- SALE);Shared eWallet to store, trade and invest virtual assets like ingame values;https://docs.google.com/document/d/1D1mgMbbJq3g_RsKphcJDetg95l6riE7R2OVakIgm5NA/edit?usp=sharing;https://www.facebook.com/CoinDriveApp/;https://twitter.com/drivecoin;
129;Sharpe Capital;UK based investment fund;https://s3-eu-west-1.amazonaws.com/sharpe-website/whitepaper.pdf;https://www.facebook.com/sharpecapital;https://twitter.com/sharpecapital;
130;Kitchan;Crypto-trading Platform with sharing profits;https://kitchan.network/assets/whitepaper.pdf;https://www.facebook.com/kitchannetwork;https://twitter.com/KitchanNetwork;https://github.com/KitchanNetwork
131;WORDCOIN;Cryptocurrency supported by high-demand online services and operated at Word Expert platform;https://www.wordcoin.io/wp/WP_WORDCOIN_English.pdf;https://www.facebook.com/wordcoin.io/;https://twitter.com/wordcoin_io;https://github.com/WORDCOIN
132;Ice Rock Mining;Cloud mining Platform in real Ice Rock;http://icerockmining.io/whitePaper.pdf;https://www.facebook.com/IceRockMiningICO;;
133;UQUID;Ethtreum-based Decentralized Virtual Cryptocurrency;https://uquidcoin.com/;https://www.messenger.com/t/uquidcard;https://twitter.com/uquidcard;
134;LondonCoin;Cryptocurrency;http://londoncoin.io/wp-content/uploads/2017/09/LondonCoin_v.0.12-2017.8.pdf;https://www.facebook.com/LondonCoin-822246331272657/;https://twitter.com/London_Coin;
135;Slot;The Smart Contract-Based Randomized Game;http://slot.network/whitepaper.pdf;https://www.facebook.com/cryptoslot/;https://twitter.com/Slotcrypto;
136;Elite 888 Token;Limited supply high-end tokens;https://www.elite888.com/docs/ELITE_888_White_Paper.pdf;;https://twitter.com/Elite888Token;https://github.com/CoinCollective/Elite888
137;WAX - Worldwide Asset eXchange;Decentralized Platform that enables anyone to operate fully functioning virtual asset marketplace;https://www.waxtoken.com/wp-content/uploads/WAX_White_Paper.pdf;https://www.facebook.com/WAX-token-110890759600126/;https://twitter.com/waxtoken;
138;Brickblock;Platform for trading without a middleman;http://brickblock.io/files/Brickblock_General_Whitepaper_v102.pdf;https://www.facebook.com/brickblock.io/;https://twitter.com/brickblock_io;https://github.com/brickblock-io
139;FTCoin;Decentralized Investment and Trading System;https://ftcoin.io/sites/default/files/Digital%20ecosystem%20FTCoin%20%E2%80%93%20investment%20and%20trading%20of%20tomorrow.pdf;https://www.facebook.com/groups/ftcoin.io/;https://twitter.com/ft_coin;
140;AKM Global;Worldwide network of technologically-inspired Bio food Restaurants;https://akminvest.com/wp-content/uploads/2017/09/Whitepaper-AKM-Global.pdf;https://www.facebook.com/akminvest/;https://twitter.com/akmglobal_;
141;BitsPulse;The supplier of entertaining gambling on the basis of blockchain;http://bitspulse.io/whitepapers;https://www.facebook.com/Ico-Game-Bitspulseio-1833620343634875/;;
